% Model,cell.mph
% Version,COMSOL 6.2.0.415
% Date,"Sep 22 2025, 15:35"
% Table,Table 1 - Temperature mush - Temperature @ 1/2 mush
% kappa,Time (s),"Dependent variable u (K), Point: 6","Dependent variable u (K), Point: 7"
0.001,0,-0.019999999999999997,-0.02
0.001,5.0E-4,-0.01999999304894259,-0.019999998549086042
0.001,0.001,-0.01999371484029691,-0.01999774064001301
0.001,0.0015,-0.0199078015448834,-0.019960853389748543
0.001,0.002,-0.0195845090045831,-0.019801520299079396
0.001,0.0025,-0.01890150013691684,-0.01942165021584605
0.001,0.003,-0.017811649206063745,-0.018758118548793532
0.001,0.0035,-0.016306689446185314,-0.01777422497240699
0.001,0.004,-0.014387320189534305,-0.016492679212699927
0.001,0.0045000000000000005,-0.011923923079436875,-0.01489624306776938
0.001,0.005,-0.008477306949407069,-0.012927347397713706
0.001,0.0055,-0.0014533814500048115,-0.010408218671038161
0.001,0.006,0.16167734455521768,-0.006669752329574636
0.001,0.006500000000000001,0.28353122402528236,0.003175007539993011
0.001,0.007,0.3751797795027243,0.18733563183154398
