% Model,cell.mph
% Version,COMSOL 6.2.0.415
% Date,"Sep 22 2025, 15:35"
% Table,Table 2 - Temperature sharp - Temperature @ 1/2 sharp
% kappa,Time (s),"Dependent variable u (K), Point: 6","Dependent variable u (K), Point: 7"
0.1,0,-0.019999999999999997,-0.020000000000000004
0.1,0.01,-0.019777319703883505,-0.019999900695984115
0.1,0.02,-0.018173825716394254,-0.019991402938347683
0.1,0.03,-0.015809513258083406,-0.019934965920097615
0.1,0.04,-0.013303712863434344,-0.019774062357420352
0.1,0.05,-0.010582805010273534,-0.019464024896451958
0.1,0.06,0.0026512756286057714,-0.01899011377747779
0.1,0.07,0.09821414949985999,-0.018351330000764134
0.1,0.08,0.16099380937617255,-0.017579894017204476
0.1,0.09,0.2056762655215229,-0.01670045697463711
0.1,0.1,0.2432164824350741,-0.015743550452988364
0.1,0.11,0.27512074662200564,-0.014727591905710442
0.1,0.12,0.30321582587757046,-0.013659808105443965
0.1,0.13,0.3278181199830461,-0.01256661415439585
0.1,0.14,0.3500943611524118,-0.01154937063514621
0.1,0.15,0.37069032588226153,-0.010433196027565097
0.1,0.16,0.38942922715716344,-0.00920872905930328
0.1,0.17,0.4068424349961127,-0.007940693616068365
0.1,0.18,0.423660961641297,-0.006594564828859988
0.1,0.19,0.4411194426710488,-0.001077826330011638
0.1,0.2,0.4610028613135198,0.16301610876087294
